,l,hex,y,rgb,r,g,b,hsv,hue,sat,val
0,0.796199095,#E3C1B2,4,"(227, 193, 178)",0.8901960784313725,0.7568627450980392,0.6980392156862745,"(0.05102040816326533, 0.2158590308370044, 0.8901960784313725)",0.05102040816326533,0.2158590308370044,0.8901960784313725
1,0.486862745,#BA673E,1,"(186, 103, 62)",0.7294117647058823,0.403921568627451,0.24313725490196078,"(0.05510752688172044, 0.6666666666666666, 0.7294117647058823)",0.05510752688172044,0.6666666666666666,0.7294117647058823
2,0.75630375,#E8B398,3,"(232, 179, 152)",0.9098039215686274,0.7019607843137254,0.596078431372549,"(0.05624999999999999, 0.3448275862068966, 0.9098039215686274)",0.05624999999999999,0.3448275862068966,0.9098039215686274
3,0.72373581,#DBAF95,3,"(219, 175, 149)",0.8588235294117647,0.6862745098039216,0.5843137254901961,"(0.06190476190476191, 0.31963470319634696, 0.8588235294117647)",0.06190476190476191,0.31963470319634696,0.8588235294117647
4,0.66379085,#D59B7C,3,"(213, 155, 124)",0.8352941176470589,0.6078431372549019,0.48627450980392156,"(0.058052434456928814, 0.4178403755868545, 0.8352941176470589)",0.058052434456928814,0.4178403755868545,0.8352941176470589
5,0.661522791,#C6A08A,4,"(198, 160, 138)",0.7764705882352941,0.6274509803921569,0.5411764705882353,"(0.061111111111111116, 0.3030303030303031, 0.7764705882352941)",0.061111111111111116,0.3030303030303031,0.7764705882352941
6,0.857352941,#ECCDC9,2,"(236, 205, 201)",0.9254901960784314,0.803921568627451,0.788235294117647,"(0.01904761904761911, 0.1483050847457628, 0.9254901960784314)",0.01904761904761911,0.1483050847457628,0.9254901960784314
7,0.756951872,#E4BD9D,4,"(228, 189, 157)",0.8941176470588236,0.7411764705882353,0.615686274509804,"(0.07511737089201877, 0.3114035087719298, 0.8941176470588236)",0.07511737089201877,0.3114035087719298,0.8941176470588236
8,0.649542484,#D49476,4,"(212, 148, 118)",0.8313725490196079,0.5803921568627451,0.4627450980392157,"(0.05319148936170213, 0.44339622641509435, 0.8313725490196079)",0.05319148936170213,0.44339622641509435,0.8313725490196079
9,0.695933601,#D2A58F,4,"(210, 165, 143)",0.8235294117647058,0.6470588235294118,0.5607843137254902,"(0.05472636815920401, 0.319047619047619, 0.8235294117647058)",0.05472636815920401,0.319047619047619,0.8235294117647058
10,0.668934642,#CB9E89,4,"(203, 158, 137)",0.796078431372549,0.6196078431372549,0.5372549019607843,"(0.05303030303030306, 0.3251231527093596, 0.796078431372549)",0.05303030303030306,0.3251231527093596,0.796078431372549
11,0.658431373,#D5AA7A,3,"(213, 170, 122)",0.8352941176470589,0.6666666666666666,0.47843137254901963,"(0.08791208791208789, 0.4272300469483568, 0.8352941176470589)",0.08791208791208789,0.4272300469483568,0.8352941176470589
12,0.789093137,#EAC4A7,3,"(234, 196, 167)",0.9176470588235294,0.7686274509803922,0.6549019607843137,"(0.07213930348258711, 0.2863247863247863, 0.9176470588235294)",0.07213930348258711,0.2863247863247863,0.9176470588235294
13,0.650544662,#D59376,3,"(213, 147, 118)",0.8352941176470589,0.5764705882352941,0.4627450980392157,"(0.05087719298245611, 0.4460093896713615, 0.8352941176470589)",0.05087719298245611,0.4460093896713615,0.8352941176470589
14,0.554656863,#D0724A,1,"(208, 114, 74)",0.8156862745098039,0.4470588235294118,0.2901960784313726,"(0.04975124378109452, 0.6442307692307692, 0.8156862745098039)",0.04975124378109452,0.6442307692307692,0.8156862745098039
15,0.518552036,#AD705B,1,"(173, 112, 91)",0.6784313725490196,0.4392156862745098,0.3568627450980392,"(0.042682926829268275, 0.47398843930635837, 0.6784313725490196)",0.042682926829268275,0.47398843930635837,0.6784313725490196
16,0.546182014,#B37D62,2,"(179, 125, 98)",0.7019607843137254,0.49019607843137253,0.3843137254901961,"(0.055555555555555546, 0.45251396648044684, 0.7019607843137254)",0.055555555555555546,0.45251396648044684,0.7019607843137254
17,0.607964519,#C49571,3,"(196, 149, 113)",0.7686274509803922,0.5843137254901961,0.44313725490196076,"(0.07228915662650603, 0.4234693877551021, 0.7686274509803922)",0.07228915662650603,0.4234693877551021,0.7686274509803922
18,0.726797386,#DEAC94,4,"(222, 172, 148)",0.8705882352941177,0.6745098039215687,0.5803921568627451,"(0.05405405405405406, 0.3333333333333333, 0.8705882352941177)",0.05405405405405406,0.3333333333333333,0.8705882352941177
19,0.70802139,#DBAA8E,3,"(219, 170, 142)",0.8588235294117647,0.6666666666666666,0.5568627450980392,"(0.06060606060606059, 0.35159817351598166, 0.8588235294117647)",0.06060606060606059,0.35159817351598166,0.8588235294117647
20,0.552249135,#B18A67,4,"(177, 138, 103)",0.6941176470588235,0.5411764705882353,0.403921568627451,"(0.07882882882882881, 0.4180790960451977, 0.6941176470588235)",0.07882882882882881,0.4180790960451977,0.6941176470588235
21,0.560171569,#A88C74,4,"(168, 140, 116)",0.6588235294117647,0.5490196078431373,0.4549019607843137,"(0.07692307692307697, 0.30952380952380953, 0.6588235294117647)",0.07692307692307697,0.30952380952380953,0.6588235294117647
22,0.717189542,#E3A58A,3,"(227, 165, 138)",0.8901960784313725,0.6470588235294118,0.5411764705882353,"(0.05056179775280902, 0.3920704845814978, 0.8901960784313725)",0.05056179775280902,0.3920704845814978,0.8901960784313725
23,0.756781046,#E6BD9A,3,"(230, 189, 154)",0.9019607843137255,0.7411764705882353,0.6039215686274509,"(0.0767543859649123, 0.3304347826086957, 0.9019607843137255)",0.0767543859649123,0.3304347826086957,0.9019607843137255
24,0.640623848,#CD9778,4,"(205, 151, 120)",0.803921568627451,0.592156862745098,0.47058823529411764,"(0.0607843137254902, 0.41463414634146345, 0.803921568627451)",0.0607843137254902,0.41463414634146345,0.803921568627451
25,0.609607843,#C29774,4,"(194, 151, 116)",0.7607843137254902,0.592156862745098,0.4549019607843137,"(0.0747863247863248, 0.40206185567010305, 0.7607843137254902)",0.0747863247863248,0.40206185567010305,0.7607843137254902
26,0.63315508,#CF9273,3,"(207, 146, 115)",0.8117647058823529,0.5725490196078431,0.45098039215686275,"(0.056159420289855044, 0.4444444444444444, 0.8117647058823529)",0.056159420289855044,0.4444444444444444,0.8117647058823529
27,0.684691015,#C6A895,4,"(198, 168, 149)",0.7764705882352941,0.6588235294117647,0.5843137254901961,"(0.06462585034013602, 0.24747474747474746, 0.7764705882352941)",0.06462585034013602,0.24747474747474746,0.7764705882352941
28,0.709591503,#CFA999,3,"(207, 169, 153)",0.8117647058823529,0.6627450980392157,0.6,"(0.04938271604938271, 0.26086956521739135, 0.8117647058823529)",0.04938271604938271,0.26086956521739135,0.8117647058823529
29,0.684356765,#D8A884,3,"(216, 168, 132)",0.8470588235294118,0.6588235294117647,0.5176470588235295,"(0.07142857142857141, 0.38888888888888884, 0.8470588235294118)",0.07142857142857141,0.38888888888888884,0.8470588235294118
30,0.584464555,#AE8D7A,4,"(174, 141, 122)",0.6823529411764706,0.5529411764705883,0.47843137254901963,"(0.0608974358974359, 0.29885057471264365, 0.6823529411764706)",0.0608974358974359,0.29885057471264365,0.6823529411764706
31,0.792810458,#EFC5A4,3,"(239, 197, 164)",0.9372549019607843,0.7725490196078432,0.6431372549019608,"(0.07333333333333335, 0.31380753138075307, 0.9372549019607843)",0.07333333333333335,0.31380753138075307,0.9372549019607843
32,0.858226769,#EFD0C5,2,"(239, 208, 197)",0.9372549019607843,0.8156862745098039,0.7725490196078432,"(0.04365079365079363, 0.17573221757322172, 0.9372549019607843)",0.04365079365079363,0.17573221757322172,0.9372549019607843
33,0.692156863,#D1A38F,3,"(209, 163, 143)",0.8196078431372549,0.6392156862745098,0.5607843137254902,"(0.050505050505050476, 0.3157894736842105, 0.8196078431372549)",0.050505050505050476,0.3157894736842105,0.8196078431372549
34,0.754253813,#EAAA95,3,"(234, 170, 149)",0.9176470588235294,0.6666666666666666,0.5843137254901961,"(0.04117647058823526, 0.3632478632478632, 0.9176470588235294)",0.04117647058823526,0.3632478632478632,0.9176470588235294
35,0.834858388,#ECD1BD,2,"(236, 209, 189)",0.9254901960784314,0.8196078431372549,0.7411764705882353,"(0.07092198581560277, 0.19915254237288135, 0.9254901960784314)",0.07092198581560277,0.19915254237288135,0.9254901960784314
36,0.597385621,#C09070,1,"(192, 144, 112)",0.7529411764705882,0.5647058823529412,0.4392156862745098,"(0.06666666666666667, 0.4166666666666667, 0.7529411764705882)",0.06666666666666667,0.4166666666666667,0.7529411764705882
